B00, 100
B00, Trade, 85042.115, 169, B00, S17, 1
B00, Trade, 85054.692, 165, B00, S12, 1
B00, Trade, 85076.500, 167, S17, B00, 1
B00, Trade, 85084.500, 163, B00, S17, 1
B00, Trade, 85098.058, 166, B00, S09, 1
B00, Trade, 85105.250, 165, S12, B00, 1
B00, Trade, 85125.346, 165, B00, S06, 1
B00, Trade, 85133.635, 162, B00, S03, 1
B00, Trade, 85157.577, 165, S10, B00, 1
B00, Trade, 85177.673, 163, B00, S23, 1
B00, Trade, 85181.154, 168, P01, B00, 1
B00, Trade, 85193.365, 162, B00, S11, 1
B00, Trade, 85196.019, 169, S13, B00, 1
B00, Trade, 85207.673, 166, B00, S09, 1
B00, Trade, 85218.288, 161, B00, S16, 1
B00, Trade, 85239.038, 164, B00, S15, 1
B00, Trade, 85241.500, 173, S23, B00, 1
B00, Trade, 85269.577, 162, B00, S21, 1
B00, Trade, 85273.327, 158, S04, B00, 1
B00, Trade, 85290.269, 163, B00, S24, 1
B00, Trade, 85298.058, 165, B00, S20, 1
B00, Trade, 85316.692, 174, S17, B00, 1
B00, Trade, 85352.654, 172, P01, B00, 1
B00, Trade, 85374.308, 168, B00, S21, 1
B00, Trade, 85410.865, 170, S06, B00, 1
B00, Trade, 85444.519, 158, B00, S11, 1
B00, Trade, 85457.404, 174, S22, B00, 1
B00, Trade, 85482.231, 171, S06, B00, 1
B00, Trade, 85501.846, 165, S19, B00, 1
B00, Trade, 85504.962, 167, S09, B00, 1
B00, Trade, 85527.404, 167, B00, S16, 1
B00, Trade, 85533.923, 163, B00, S11, 1
B00, Trade, 85536.154, 162, B00, S03, 1
B00, Trade, 85543.327, 163, B00, S20, 1
B00, Trade, 85561.731, 166, B00, S21, 1
B00, Trade, 85567.404, 171, S08, B00, 1
B00, Trade, 85576.173, 169, B00, S01, 1
B00, Trade, 85590.019, 166, B00, S13, 1
B00, Trade, 85605.462, 178, S15, B00, 1
B00, Trade, 85631.615, 169, S15, B00, 1
B00, Trade, 85644.596, 164, B00, S00, 1
B00, Trade, 85651.500, 170, S22, B00, 1
B00, Trade, 85658.654, 161, B00, S08, 1
B00, Trade, 85682.038, 167, S04, B00, 1
B00, Trade, 85697.885, 165, B00, S09, 1
B00, Trade, 85701.788, 161, B00, S08, 1
B00, Trade, 85724.019, 168, B00, S12, 1
B00, Trade, 85729.115, 171, S16, B00, 1
B00, Trade, 85740.962, 164, B00, S08, 1
B00, Trade, 85749.962, 168, S02, B00, 1
B00, Trade, 85761.654, 167, B00, S16, 1
B00, Trade, 85782.788, 168, B00, S09, 1
B00, Trade, 85788.308, 171, S22, B00, 1
B00, Trade, 85800.769, 162, B00, S21, 1
B00, Trade, 85809.981, 171, S23, B00, 1
B00, Trade, 85822.635, 167, B00, S04, 1
B00, Trade, 85825.000, 168, S16, B00, 1
B00, Trade, 85841.269, 169, B00, S12, 1
B00, Trade, 85855.673, 169, B00, S19, 1
B00, Trade, 85882.731, 172, S22, B00, 1
B00, Trade, 85897.423, 174, B00, S20, 1
B00, Trade, 85900.423, 171, B00, S00, 1
B00, Trade, 85905.115, 173, S05, B00, 1
B00, Trade, 85921.865, 172, S10, B00, 1
B00, Trade, 85932.327, 171, S05, B00, 1
B00, Trade, 85946.712, 166, B00, S01, 1
B00, Trade, 85968.538, 169, S10, B00, 1
B00, Trade, 85986.404, 167, B00, S09, 1
B00, Trade, 85988.212, 171, B00, S07, 1
B00, Trade, 86002.404, 170, B00, S06, 1
B00, Trade, 86007.096, 168, B00, S21, 1
B00, Trade, 86020.212, 169, S19, B00, 1
B00, Trade, 86030.404, 170, P01, B00, 1
B00, Trade, 86057.212, 163, B00, S03, 1
B00, Trade, 86072.077, 170, P01, B00, 1
B00, Trade, 86089.904, 171, B00, S14, 1
B00, Trade, 86095.827, 165, B00, S19, 1
B00, Trade, 86103.423, 173, S16, B00, 1
B00, Trade, 86120.904, 164, B00, S05, 1
B00, Trade, 86129.173, 168, B00, S11, 1
B00, Trade, 86147.462, 168, B00, S24, 1
B00, Trade, 86151.673, 166, S02, B00, 1
B00, Trade, 86166.308, 167, B00, S17, 1
B00, Trade, 86178.250, 166, S12, B00, 1
B00, Trade, 86184.327, 168, S01, B00, 1
B00, Trade, 86207.404, 174, S19, B00, 1
B00, Trade, 86221.154, 171, B00, S17, 1
B00, Trade, 86230.346, 169, B00, S08, 1
B00, Trade, 86238.635, 163, B00, S02, 1
B00, Trade, 86246.000, 168, S06, B00, 1
B00, Trade, 86277.654, 173, S09, B00, 1
B00, Trade, 86296.635, 163, B00, S09, 1
B00, Trade, 86303.250, 169, S10, B00, 1
B00, Trade, 86307.115, 169, B00, S20, 1
B00, Trade, 86326.692, 164, B00, S20, 1
B00, Trade, 86329.481, 167, S06, B00, 1
B00, Trade, 86347.500, 166, B00, S19, 1
B00, Trade, 86362.615, 164, B00, S11, 1
B00, Trade, 86375.750, 166, B00, S05, 1
B00, Trade, 86396.365, 169, S08, B00, 1
B01, 100
B01, Trade, 85300.096, 167, B01, S21, 1
B01, Trade, 85304.173, 170, S20, B01, 1
B01, Trade, 85312.308, 170, S16, B01, 1
B01, Trade, 85328.404, 170, S22, B01, 1
B01, Trade, 85341.346, 173, P01, B01, 1
B01, Trade, 85346.596, 171, S21, B01, 1
B01, Trade, 85354.692, 175, S22, B01, 1
B01, Trade, 85390.173, 167, B01, S02, 1
B01, Trade, 85395.788, 176, S04, B01, 1
B01, Trade, 85410.788, 165, S24, B01, 1
B01, Trade, 85421.750, 169, B01, S10, 1
B01, Trade, 85435.865, 160, B01, S01, 1
B01, Trade, 85442.923, 167, P01, B01, 1
B01, Trade, 85445.250, 172, S19, B01, 1
B01, Trade, 85457.058, 168, S07, B01, 1
