B00, 100
B00, Trade, 84956.962, 169, B00, S11, 1
B00, Trade, 84959.269, 166, B00, S15, 1
B00, Trade, 84972.442, 161, S16, B00, 1
B00, Trade, 85004.596, 174, S21, B00, 1
B00, Trade, 85019.154, 161, B00, S22, 1
B00, Trade, 85021.596, 162, S16, B00, 1
B00, Trade, 85039.596, 168, S18, B00, 1
B00, Trade, 85053.365, 161, B00, S11, 1
B00, Trade, 85065.058, 163, B00, S20, 1
B00, Trade, 85073.481, 167, B00, S05, 1
B00, Trade, 85090.462, 166, S17, B00, 1
B00, Trade, 85114.481, 172, S04, B00, 1
B00, Trade, 85131.519, 166, B00, S10, 1
B00, Trade, 85159.962, 165, S04, B00, 1
B00, Trade, 85168.500, 168, S07, B00, 1
B00, Trade, 85180.942, 167, B00, S23, 1
B00, Trade, 85192.212, 165, B00, S10, 1
B00, Trade, 85197.596, 168, S14, B00, 1
B00, Trade, 85210.250, 167, B00, S20, 1
B00, Trade, 85214.154, 171, S19, B00, 1
B00, Trade, 85234.077, 166, S10, B00, 1
B00, Trade, 85251.962, 162, B00, S13, 1
B00, Trade, 85262.654, 164, B00, S03, 1
B00, Trade, 85275.404, 167, B00, S01, 1
B00, Trade, 85280.673, 168, S10, B00, 1
B00, Trade, 85287.635, 168, S03, B00, 1
B00, Trade, 85297.865, 164, B00, S21, 1
B00, Trade, 85313.769, 164, B00, S04, 1
B00, Trade, 85327.288, 166, B00, S00, 1
B00, Trade, 85340.615, 167, B00, S21, 1
B00, Trade, 85341.442, 170, S03, B00, 1
B00, Trade, 85354.385, 163, S16, B00, 1
B00, Trade, 85374.885, 158, B00, S05, 1
B00, Trade, 85381.673, 162, S04, B00, 1
B00, Trade, 85395.942, 161, B00, S05, 1
B00, Trade, 85401.019, 164, B00, S00, 1
B00, Trade, 85415.096, 175, S08, B00, 1
B00, Trade, 85455.538, 168, S24, B00, 1
B00, Trade, 85489.673, 171, S06, B00, 1
B00, Trade, 85495.154, 164, S01, B00, 1
B00, Trade, 85525.038, 164, B00, S15, 1
B00, Trade, 85528.577, 169, S19, B00, 1
B00, Trade, 85544.558, 171, S02, B00, 1
B00, Trade, 85546.000, 172, B00, S17, 1
B00, Trade, 85557.692, 171, B00, S12, 1
