B00, 100
B00, Trade, 85219.558, 103, B00, S22, 1
B00, Trade, 85228.673, 110, S16, B00, 1
B00, Trade, 85240.154, 100, B00, S13, 1
B00, Trade, 85248.923, 103, S06, B00, 1
B00, Trade, 85261.865, 102, B00, S10, 1
B00, Trade, 85270.769, 105, B00, S02, 1
B00, Trade, 85275.923, 109, S14, B00, 1
B00, Trade, 85294.577, 107, B00, S04, 1
B00, Trade, 85304.115, 108, S03, B00, 1
B00, Trade, 85310.885, 103, B00, S13, 1
B00, Trade, 85324.846, 102, B00, S19, 1
B00, Trade, 85331.923, 103, B00, S22, 1
B00, Trade, 85335.654, 109, S00, B00, 1
B00, Trade, 85350.269, 104, B00, S19, 1
B00, Trade, 85354.000, 103, B00, S03, 1
B00, Trade, 85373.038, 99, B00, S10, 1
B00, Trade, 85379.942, 103, S02, B00, 1
B00, Trade, 85388.269, 107, B00, S01, 1
B00, Trade, 85400.346, 99, S20, B00, 1
B00, Trade, 85402.269, 103, S05, B00, 1
B00, Trade, 85419.769, 88, S04, B00, 1
B00, Trade, 85431.904, 105, B00, S04, 1
B00, Trade, 85437.615, 109, B00, S15, 1
B00, Trade, 85453.692, 82, S04, B00, 1
B00, Trade, 85470.673, 98, B00, S24, 1
B00, Trade, 85490.788, 108, B00, S01, 1
B00, Trade, 85502.827, 109, S01, B00, 1
B00, Trade, 85514.423, 109, B00, S21, 1
B00, Trade, 85528.269, 109, S22, B00, 1
B00, Trade, 85538.096, 107, B00, S04, 1
B00, Trade, 85545.481, 105, S13, B00, 1
B00, Trade, 85558.404, 113, S13, B00, 1
B00, Trade, 85566.827, 101, B00, S21, 1
B00, Trade, 85581.654, 110, B00, S22, 1
B00, Trade, 85592.115, 114, S15, B00, 1
B00, Trade, 85600.923, 108, B00, S04, 1
B00, Trade, 85616.365, 105, B00, S04, 1
B00, Trade, 85622.058, 107, B00, S20, 1
B00, Trade, 85633.635, 111, B00, S11, 1
B00, Trade, 85638.154, 107, S00, B00, 1
B00, Trade, 85657.346, 111, B00, S22, 1
B00, Trade, 85659.962, 107, S17, B00, 1
B00, Trade, 85676.423, 109, S05, B00, 1
B00, Trade, 85688.962, 108, B00, S08, 1
B00, Trade, 85696.308, 111, S16, B00, 1
B00, Trade, 85708.058, 106, B00, S07, 1
B00, Trade, 85725.288, 106, B00, S13, 1
B00, Trade, 85728.808, 109, S09, B00, 1
B00, Trade, 85751.750, 106, S05, B00, 1
B00, Trade, 85767.327, 109, P00, B00, 1
B00, Trade, 85781.442, 114, S06, B00, 1
B00, Trade, 85806.115, 112, S24, B00, 1
B00, Trade, 85825.827, 104, B00, S03, 1
B00, Trade, 85836.135, 113, S06, B00, 1
B00, Trade, 85851.865, 106, B00, S19, 1
B00, Trade, 85859.462, 111, B00, S06, 1
B00, Trade, 85879.577, 107, P00, B00, 1
B00, Trade, 85890.673, 110, B00, S15, 1
B00, Trade, 85904.308, 115, S07, B00, 1
B00, Trade, 85919.269, 109, B00, S10, 1
B00, Trade, 85932.365, 108, B00, S09, 1
B00, Trade, 85936.981, 112, S06, B00, 1
B00, Trade, 85946.135, 109, S13, B00, 1
B00, Trade, 85957.442, 109, S06, B00, 1
B00, Trade, 85977.654, 105, B00, S17, 1
B00, Trade, 85981.481, 107, S20, B00, 1
B00, Trade, 85994.173, 105, S14, B00, 1
B00, Trade, 86001.538, 114, B00, S00, 1
B00, Trade, 86008.788, 113, B00, S15, 1
B00, Trade, 86024.635, 112, S24, B00, 1
B00, Trade, 86049.596, 107, B00, S03, 1
B00, Trade, 86050.327, 111, S18, B00, 1
B00, Trade, 86076.846, 111, B00, S20, 1
B00, Trade, 86089.308, 113, S15, B00, 1
B00, Trade, 86101.788, 103, B00, S23, 1
B00, Trade, 86111.269, 110, S18, B00, 1
B00, Trade, 86120.712, 114, S05, B00, 1
B00, Trade, 86128.288, 107, B00, S03, 1
B00, Trade, 86142.596, 110, S18, B00, 1
B00, Trade, 86164.269, 118, B00, S00, 1
B00, Trade, 86173.404, 110, B00, S03, 1
B00, Trade, 86183.538, 102, B00, S04, 1
B00, Trade, 86186.788, 109, S04, B00, 1
B00, Trade, 86193.635, 114, S15, B00, 1
B00, Trade, 86213.942, 100, B00, S18, 1
B00, Trade, 86223.827, 110, B00, S19, 1
B00, Trade, 86228.231, 106, B00, S04, 1
B00, Trade, 86238.096, 111, B00, S06, 1
B00, Trade, 86263.731, 113, S21, B00, 1
B00, Trade, 86273.385, 108, B00, S04, 1
B00, Trade, 86280.865, 112, B00, S10, 1
B00, Trade, 86293.481, 108, B00, S05, 1
B00, Trade, 86301.481, 106, B00, S20, 1
B00, Trade, 86310.077, 114, S08, B00, 1
B00, Trade, 86319.731, 120, B00, S17, 1
B00, Trade, 86334.077, 108, B00, S01, 1
B00, Trade, 86342.481, 117, S02, B00, 1
B00, Trade, 86357.173, 110, S05, B00, 1
B00, Trade, 86372.038, 112, S07, B00, 1
B00, Trade, 86387.654, 113, B00, S20, 1
B01, 100
B01, Trade, 85222.288, 107, S05, B01, 1
B01, Trade, 85241.308, 100, B01, S06, 1
B01, Trade, 85253.865, 105, B01, S01, 1
B01, Trade, 85266.058, 103, B01, S24, 1
B01, Trade, 85281.038, 102, B01, S01, 1
B01, Trade, 85289.173, 103, B01, S09, 1
B01, Trade, 85295.058, 108, B01, S02, 1
B01, Trade, 85307.923, 104, P00, B01, 1
B01, Trade, 85318.596, 103, B01, S10, 1
B01, Trade, 85330.788, 104, S23, B01, 1
B01, Trade, 85340.673, 102, B01, S18, 1
B01, Trade, 85353.058, 102, B01, S24, 1
B01, Trade, 85356.500, 105, B01, S19, 1
