B00, 100
B00, Trade, 85010.077, 110, B00, S22, 1
B00, Trade, 85022.596, 108, S14, B00, 1
B00, Trade, 85037.365, 100, B00, S11, 1
B00, Trade, 85045.808, 113, S11, B00, 1
B00, Trade, 85062.827, 109, B00, S20, 1
B00, Trade, 85075.019, 98, B00, S18, 1
B00, Trade, 85080.981, 105, S11, B00, 1
B00, Trade, 85088.096, 110, B00, S16, 1
B00, Trade, 85100.846, 106, S18, B00, 1
B00, Trade, 85107.731, 106, B00, S13, 1
B00, Trade, 85136.692, 106, S03, B00, 1
B00, Trade, 85158.615, 103, B00, S05, 1
B00, Trade, 85167.038, 96, S06, B00, 1
B00, Trade, 85188.962, 110, S09, B00, 1
B00, Trade, 85205.731, 104, B00, S00, 1
B00, Trade, 85210.269, 108, S05, B00, 1
B00, Trade, 85230.885, 107, B00, S04, 1
B00, Trade, 85245.250, 104, S10, B00, 1
B00, Trade, 85266.173, 107, S01, B00, 1
B00, Trade, 85279.135, 108, B00, S06, 1
B00, Trade, 85283.846, 115, S12, B00, 1
B00, Trade, 85307.558, 105, S07, B00, 1
B00, Trade, 85331.173, 109, B00, S14, 1
B00, Trade, 85341.981, 104, B00, S19, 1
B00, Trade, 85346.135, 104, S06, B00, 1
B00, Trade, 85368.038, 110, P01, B00, 1
B00, Trade, 85387.308, 106, B00, S11, 1
B00, Trade, 85398.769, 107, S07, B00, 1
B00, Trade, 85409.981, 103, B00, S12, 1
B00, Trade, 85416.750, 112, S17, B00, 1
B00, Trade, 85427.423, 106, B00, S23, 1
B00, Trade, 85437.673, 107, P01, B00, 1
B00, Trade, 85455.212, 109, S24, B00, 1
B00, Trade, 85473.538, 106, S00, B00, 1
B00, Trade, 85498.827, 110, B00, S19, 1
B00, Trade, 85512.019, 116, S01, B00, 1
B00, Trade, 85528.558, 104, S04, B00, 1
B00, Trade, 85547.750, 103, B00, S24, 1
B00, Trade, 85551.865, 110, S18, B00, 1
B00, Trade, 85557.577, 110, B00, S11, 1
B00, Trade, 85573.212, 100, S11, B00, 1
B00, Trade, 85587.115, 105, S04, B00, 1
B00, Trade, 85593.269, 105, S04, B00, 1
B00, Trade, 85610.269, 110, B00, S00, 1
B00, Trade, 85616.058, 108, S04, B00, 1
B00, Trade, 85628.173, 118, B00, S23, 1
B00, Trade, 85646.327, 115, B00, S19, 1
B00, Trade, 85675.596, 110, P01, B00, 1
B00, Trade, 85688.212, 105, B00, S23, 1
B00, Trade, 85703.673, 105, B00, S24, 1
B00, Trade, 85708.846, 106, B00, S17, 1
B00, Trade, 85718.327, 112, S03, B00, 1
B00, Trade, 85726.865, 107, B00, S17, 1
B00, Trade, 85749.615, 102, B00, S02, 1
B00, Trade, 85751.135, 107, S19, B00, 1
B00, Trade, 85754.654, 110, S12, B00, 1
B00, Trade, 85781.385, 103, S00, B00, 1
B00, Trade, 85805.615, 102, S08, B00, 1
B00, Trade, 85824.365, 100, S01, B00, 1
B00, Trade, 85847.481, 102, S03, B00, 1
B00, Trade, 85859.538, 98, B00, S13, 1
B00, Trade, 85874.942, 97, B00, S16, 1
B00, Trade, 85877.962, 101, S07, B00, 1
B00, Trade, 85913.423, 98, B00, S06, 1
B00, Trade, 85913.558, 102, S09, B00, 1
B00, Trade, 85946.231, 101, B00, S19, 1
B00, Trade, 85950.346, 96, P01, B00, 1
B00, Trade, 85962.904, 100, B00, S03, 1
B00, Trade, 85969.962, 109, S18, B00, 1
B00, Trade, 85977.923, 105, B00, S20, 1
B00, Trade, 85997.846, 101, B00, S20, 1
B00, Trade, 86003.346, 110, S08, B00, 1
B00, Trade, 86013.212, 102, B00, S04, 1
B00, Trade, 86029.269, 105, S02, B00, 1
B00, Trade, 86063.827, 105, P01, B00, 1
B00, Trade, 86081.846, 107, B00, S18, 1
B00, Trade, 86097.423, 95, B00, S19, 1
B00, Trade, 86118.538, 106, S14, B00, 1
B00, Trade, 86141.327, 107, B00, S04, 1
B00, Trade, 86155.462, 95, B00, S03, 1
B00, Trade, 86167.192, 104, B00, S01, 1
B00, Trade, 86191.904, 101, B00, S05, 1
B00, Trade, 86201.750, 105, S00, B00, 1
B00, Trade, 86216.538, 93, B00, S20, 1
B00, Trade, 86218.750, 98, S09, B00, 1
B00, Trade, 86233.038, 93, B00, S14, 1
B00, Trade, 86251.827, 105, S18, B00, 1
B00, Trade, 86263.596, 95, B00, S04, 1
B00, Trade, 86272.962, 93, B00, S06, 1
B00, Trade, 86284.058, 100, B00, S13, 1
B00, Trade, 86289.981, 95, B00, S02, 1
B00, Trade, 86308.865, 89, B00, S14, 1
B00, Trade, 86314.327, 104, S21, B00, 1
B00, Trade, 86330.827, 97, B00, S15, 1
B00, Trade, 86340.346, 99, B00, S19, 1
B00, Trade, 86349.288, 98, B00, S17, 1
B00, Trade, 86359.096, 99, S24, B00, 1
B00, Trade, 86370.192, 100, B00, S08, 1
B00, Trade, 86376.596, 100, P01, B00, 1
B00, Trade, 86392.654, 99, B00, S14, 1
B01, 100
B01, Trade, 85172.769, 112, S11, B01, 1
B01, Trade, 85179.500, 107, B01, S07, 1
B01, Trade, 85184.692, 105, S18, B01, 1
B01, Trade, 85206.365, 104, B01, S08, 1
B01, Trade, 85207.019, 107, P01, B01, 1
B01, Trade, 85232.000, 112, B01, S06, 1
B01, Trade, 85233.077, 115, S03, B01, 1
B01, Trade, 85249.365, 105, B01, S13, 1
B01, Trade, 85259.635, 108, B01, S17, 1
B01, Trade, 85272.250, 102, B01, S19, 1
B01, Trade, 85279.538, 110, S19, B01, 1
B01, Trade, 85292.577, 109, B01, S03, 1
B01, Trade, 85295.000, 106, B01, S03, 1
B01, Trade, 85310.615, 107, B01, S23, 1
B01, Trade, 85337.500, 106, B01, S14, 1
B01, Trade, 85342.865, 110, S06, B01, 1
B01, Trade, 85354.885, 102, B01, S23, 1
B01, Trade, 85360.404, 104, S00, B01, 1
B01, Trade, 85363.115, 110, S01, B01, 1
B01, Trade, 85379.423, 105, B01, S17, 1
B01, Trade, 85395.404, 109, B01, S15, 1
B01, Trade, 85413.769, 107, B01, S02, 1
B01, Trade, 85420.827, 109, B01, S03, 1
B01, Trade, 85436.173, 105, S08, B01, 1
B01, Trade, 85457.615, 104, B01, S10, 1
B01, Trade, 85465.558, 105, B01, S23, 1
B01, Trade, 85473.096, 108, B01, S14, 1
B01, Trade, 85476.019, 102, B01, S13, 1
B01, Trade, 85490.385, 102, S10, B01, 1
B01, Trade, 85516.808, 107, B01, S14, 1
B01, Trade, 85521.308, 111, S24, B01, 1
B01, Trade, 85531.692, 107, S19, B01, 1
B01, Trade, 85545.673, 106, B01, S13, 1
B01, Trade, 85574.442, 106, S09, B01, 1
B01, Trade, 85578.442, 112, P01, B01, 1
B01, Trade, 85611.423, 109, B01, S04, 1
B01, Trade, 85614.000, 107, S09, B01, 1
B01, Trade, 85619.558, 106, B01, S12, 1
B01, Trade, 85631.192, 110, S04, B01, 1
B01, Trade, 85639.500, 107, B01, S02, 1
B01, Trade, 85654.750, 100, B01, S20, 1
B01, Trade, 85668.000, 112, B01, S23, 1
B01, Trade, 85671.173, 108, B01, S24, 1
B01, Trade, 85690.788, 110, B01, S18, 1
B01, Trade, 85699.558, 111, S09, B01, 1
B01, Trade, 85712.212, 111, S15, B01, 1
B01, Trade, 85723.500, 104, B01, S13, 1
B01, Trade, 85726.577, 111, S11, B01, 1
B01, Trade, 85742.250, 105, B01, S12, 1
B01, Trade, 85752.865, 108, S13, B01, 1
B01, Trade, 85760.577, 113, B01, S12, 1
B01, Trade, 85781.115, 102, B01, S11, 1
B01, Trade, 85783.538, 104, P01, B01, 1
B01, Trade, 85789.500, 110, P01, B01, 1
B01, Trade, 85796.288, 108, B01, S10, 1
B01, Trade, 85824.212, 97, S16, B01, 1
B01, Trade, 85824.904, 96, S04, B01, 1
B01, Trade, 85841.038, 101, B01, S06, 1
B01, Trade, 85857.865, 97, B01, S17, 1
B01, Trade, 85871.269, 102, S21, B01, 1
B01, Trade, 85877.077, 97, B01, S18, 1
B01, Trade, 85883.923, 106, S21, B01, 1
B01, Trade, 85905.269, 96, B01, S23, 1
B01, Trade, 85909.019, 104, S20, B01, 1
B01, Trade, 85920.365, 103, B01, S01, 1
B01, Trade, 85925.635, 107, S09, B01, 1
B01, Trade, 85941.308, 98, B01, S03, 1
B01, Trade, 85958.538, 104, S10, B01, 1
B01, Trade, 85970.654, 106, B01, S02, 1
B01, Trade, 85981.000, 102, P01, B01, 1
B01, Trade, 85992.750, 99, S05, B01, 1
B01, Trade, 86023.077, 103, S03, B01, 1
B01, Trade, 86028.577, 103, B01, S20, 1
B01, Trade, 86042.750, 98, B01, S10, 1
B01, Trade, 86044.654, 100, S02, B01, 1
B01, Trade, 86058.885, 105, S09, B01, 1
B01, Trade, 86076.538, 106, B01, S06, 1
B01, Trade, 86085.000, 103, B01, S03, 1
B01, Trade, 86102.904, 97, S09, B01, 1
B01, Trade, 86113.558, 99, B01, S23, 1
B01, Trade, 86119.635, 104, S09, B01, 1
B01, Trade, 86126.327, 88, S03, B01, 1
B01, Trade, 86144.269, 103, B01, S15, 1
B01, Trade, 86154.962, 96, B01, S07, 1
B01, Trade, 86160.346, 104, S09, B01, 1
B01, Trade, 86172.692, 108, B01, S14, 1
B01, Trade, 86189.750, 102, S09, B01, 1
B01, Trade, 86215.000, 100, B01, S10, 1
B01, Trade, 86231.231, 100, S24, B01, 1
B01, Trade, 86243.462, 99, B01, S18, 1
B01, Trade, 86244.808, 106, S03, B01, 1
B01, Trade, 86261.250, 100, B01, S02, 1
B01, Trade, 86275.519, 102, B01, S21, 1
B01, Trade, 86278.769, 112, B01, S17, 1
B01, Trade, 86293.904, 101, S01, B01, 1
B01, Trade, 86321.731, 97, B01, S15, 1
B01, Trade, 86334.615, 99, S01, B01, 1
B01, Trade, 86358.981, 95, B01, S02, 1
B01, Trade, 86364.115, 102, S19, B01, 1
B01, Trade, 86384.135, 104, S08, B01, 1
B02, 100
B02, Trade, 85043.942, 106, B02, S12, 1
B02, Trade, 85058.500, 107, S05, B02, 1
B02, Trade, 85072.058, 101, B02, S07, 1
B02, Trade, 85074.558, 109, S21, B02, 1
B02, Trade, 85122.846, 108, S00, B02, 1
B02, Trade, 85137.096, 108, P01, B02, 1
B02, Trade, 85147.615, 106, S08, B02, 1
B02, Trade, 85156.442, 105, S06, B02, 1
B02, Trade, 85178.442, 103, S12, B02, 1
B02, Trade, 85194.135, 108, B02, S17, 1
B02, Trade, 85210.538, 109, S21, B02, 1
B02, Trade, 85220.192, 104, B02, S14, 1
B02, Trade, 85231.038, 112, S24, B02, 1
B02, Trade, 85237.269, 106, B02, S02, 1
B02, Trade, 85248.173, 106, S16, B02, 1
B02, Trade, 85261.231, 108, B02, S18, 1
B02, Trade, 85280.635, 107, B02, S22, 1
B02, Trade, 85292.942, 105, B02, S02, 1
B02, Trade, 85299.385, 107, S09, B02, 1
B02, Trade, 85319.269, 100, B02, S04, 1
B02, Trade, 85330.365, 112, P01, B02, 1
B02, Trade, 85335.942, 108, B02, S22, 1
B02, Trade, 85359.135, 103, S14, B02, 1
B02, Trade, 85374.519, 104, B02, S10, 1
B02, Trade, 85388.077, 110, S20, B02, 1
B02, Trade, 85400.250, 106, B02, S02, 1
B02, Trade, 85420.750, 109, B02, S13, 1
B02, Trade, 85427.962, 107, P01, B02, 1
B02, Trade, 85451.423, 111, S03, B02, 1
B02, Trade, 85458.885, 113, S07, B02, 1
B02, Trade, 85471.808, 111, B02, S16, 1
B02, Trade, 85481.923, 98, B02, S21, 1
B02, Trade, 85504.192, 104, B02, S23, 1
B02, Trade, 85505.712, 108, P01, B02, 1
B02, Trade, 85526.058, 107, B02, S07, 1
B02, Trade, 85537.577, 109, B02, S18, 1
B02, Trade, 85551.481, 108, B02, S22, 1
B02, Trade, 85564.712, 116, S21, B02, 1
B02, Trade, 85602.596, 115, S14, B02, 1
B02, Trade, 85610.654, 110, B02, S09, 1
B02, Trade, 85613.135, 109, S07, B02, 1
B02, Trade, 85634.135, 110, S01, B02, 1
B02, Trade, 85647.000, 108, B02, S10, 1
B02, Trade, 85667.808, 113, B02, S03, 1
B02, Trade, 85675.346, 102, B02, S14, 1
B02, Trade, 85679.231, 107, S18, B02, 1
B02, Trade, 85697.135, 116, S05, B02, 1
B02, Trade, 85717.500, 103, B02, S20, 1
B02, Trade, 85719.346, 110, B02, S00, 1
B02, Trade, 85729.404, 113, S12, B02, 1
B02, Trade, 85742.154, 109, B02, S01, 1
B02, Trade, 85758.135, 116, S01, B02, 1
B02, Trade, 85781.519, 100, B02, S16, 1
B02, Trade, 85791.115, 106, S02, B02, 1
B02, Trade, 85807.923, 103, P01, B02, 1
