B00, 100
B00, Trade, 85043.885, 105, B00, S09, 1
B00, Trade, 85051.404, 111, P01, B00, 1
B00, Trade, 85062.038, 104, B00, S12, 1
B00, Trade, 85067.538, 116, S09, B00, 1
B00, Trade, 85086.212, 106, B00, S14, 1
B00, Trade, 85101.885, 114, S00, B00, 1
B00, Trade, 85108.500, 107, S06, B00, 1
B00, Trade, 85117.923, 109, B00, S08, 1
B00, Trade, 85133.865, 108, S18, B00, 1
B00, Trade, 85149.942, 104, B00, S21, 1
B00, Trade, 85165.750, 109, B00, S22, 1
B00, Trade, 85166.596, 112, B00, P00, 1
B00, Trade, 85177.635, 104, B00, S05, 1
B00, Trade, 85218.327, 106, B00, S10, 1
B00, Trade, 85226.981, 105, S05, B00, 1
B00, Trade, 85236.635, 104, B00, S08, 1
B00, Trade, 85257.865, 104, S01, B00, 1
B00, Trade, 85280.827, 101, B00, S11, 1
B00, Trade, 85296.712, 104, S19, B00, 1
B00, Trade, 85313.077, 110, S15, B00, 1
B00, Trade, 85337.250, 109, B00, S18, 1
B00, Trade, 85345.654, 105, P01, B00, 1
B00, Trade, 85363.769, 106, B00, S05, 1
B00, Trade, 85380.846, 101, S01, B00, 1
B00, Trade, 85384.385, 107, B00, S06, 1
B00, Trade, 85400.019, 102, B00, S20, 1
B00, Trade, 85412.462, 104, S15, B00, 1
B00, Trade, 85423.269, 108, S16, B00, 1
B00, Trade, 85434.019, 107, B00, S23, 1
B00, Trade, 85470.269, 107, S21, B00, 1
B00, Trade, 85478.885, 103, B00, S11, 1
B00, Trade, 85485.212, 104, S04, B00, 1
B00, Trade, 85501.788, 100, B00, S22, 1
B00, Trade, 85506.096, 104, B00, S22, 1
B00, Trade, 85521.788, 98, S04, B00, 1
B00, Trade, 85528.308, 102, B00, S10, 1
B00, Trade, 85540.981, 107, B00, S16, 1
B00, Trade, 85549.173, 105, S20, B00, 1
B00, Trade, 85558.327, 100, B00, S13, 1
B00, Trade, 85569.942, 101, B00, S17, 1
B00, Trade, 85574.596, 100, B00, S19, 1
B00, Trade, 85584.731, 107, S24, B00, 1
B00, Trade, 85609.077, 105, B00, S08, 1
B00, Trade, 85628.327, 106, S17, B00, 1
B00, Trade, 85642.346, 101, B00, S03, 1
B00, Trade, 85645.885, 104, S14, B00, 1
B00, Trade, 85667.942, 104, B00, S15, 1
B00, Trade, 85693.654, 101, S23, B00, 1
B00, Trade, 85703.769, 105, S11, B00, 1
B00, Trade, 85714.269, 105, S19, B00, 1
B00, Trade, 85736.231, 105, B00, S17, 1
B00, Trade, 85748.615, 98, B00, S14, 1
B00, Trade, 85752.654, 102, S04, B00, 1
B00, Trade, 85760.308, 102, B00, S13, 1
B00, Trade, 85777.231, 107, B00, S17, 1
B00, Trade, 85782.577, 111, S24, B00, 1
B00, Trade, 85787.673, 105, S15, B00, 1
B00, Trade, 85821.731, 104, B00, S23, 1
B00, Trade, 85826.885, 116, S09, B00, 1
B00, Trade, 85844.077, 106, S11, B00, 1
B00, Trade, 85864.635, 100, S20, B00, 1
B00, Trade, 85892.442, 104, S21, B00, 1
B00, Trade, 85901.000, 112, S10, B00, 1
B00, Trade, 85909.019, 111, B00, S04, 1
B00, Trade, 85931.788, 105, S19, B00, 1
B00, Trade, 85944.577, 103, B00, S08, 1
B00, Trade, 85947.404, 111, S21, B00, 1
B00, Trade, 85961.538, 104, P01, B00, 1
B00, Trade, 85971.173, 111, B00, S19, 1
B00, Trade, 85989.019, 105, B00, S01, 1
B00, Trade, 86001.077, 103, B00, S05, 1
B00, Trade, 86002.250, 110, P01, B00, 1
B00, Trade, 86014.750, 106, S15, B00, 1
B00, Trade, 86035.808, 102, B00, S00, 1
B00, Trade, 86043.981, 110, S08, B00, 1
B00, Trade, 86047.462, 109, S18, B00, 1
B00, Trade, 86067.038, 102, B00, S00, 1
B00, Trade, 86076.846, 106, B00, S02, 1
B00, Trade, 86098.673, 106, S19, B00, 1
B00, Trade, 86111.788, 107, B00, S13, 1
B00, Trade, 86120.846, 111, S17, B00, 1
B00, Trade, 86132.865, 105, S21, B00, 1
B00, Trade, 86152.462, 108, S11, B00, 1
B00, Trade, 86163.692, 106, B00, S09, 1
B00, Trade, 86172.000, 119, B00, S12, 1
B00, Trade, 86203.481, 109, S21, B00, 1
B00, Trade, 86216.635, 100, B00, S12, 1
B00, Trade, 86226.115, 101, P01, B00, 1
B00, Trade, 86249.308, 104, S02, B00, 1
B00, Trade, 86263.519, 107, B00, S19, 1
B00, Trade, 86273.077, 105, B00, S09, 1
B00, Trade, 86275.885, 109, P01, B00, 1
B00, Trade, 86294.865, 102, B00, S09, 1
B00, Trade, 86323.308, 106, B00, S14, 1
B00, Trade, 86332.692, 104, B00, S18, 1
B00, Trade, 86349.904, 100, B00, S18, 1
B00, Trade, 86359.923, 103, P01, B00, 1
B00, Trade, 86370.173, 100, B00, S11, 1
B00, Trade, 86392.596, 100, B00, S16, 1
B00, Trade, 86398.635, 105, S04, B00, 1
B01, 100
B01, Trade, 85183.827, 107, B01, S20, 1
B01, Trade, 85189.692, 107, B01, S22, 1
B01, Trade, 85201.827, 107, B01, S09, 1
B01, Trade, 85216.500, 108, B01, S16, 1
B01, Trade, 85224.846, 103, S19, B01, 1
B01, Trade, 85237.154, 105, S24, B01, 1
B01, Trade, 85243.788, 101, B01, S16, 1
B01, Trade, 85255.173, 105, B01, S09, 1
B01, Trade, 85267.750, 106, B01, S12, 1
B01, Trade, 85274.558, 105, P01, B01, 1
B01, Trade, 85292.538, 111, B01, S11, 1
B01, Trade, 85303.404, 102, B01, S16, 1
B01, Trade, 85313.942, 109, B01, S24, 1
B01, Trade, 85331.019, 106, B01, S02, 1
B01, Trade, 85338.231, 109, B01, S08, 1
B01, Trade, 85353.654, 101, B01, S20, 1
B01, Trade, 85361.308, 98, B01, S23, 1
B01, Trade, 85369.269, 101, S21, B01, 1
B01, Trade, 85381.115, 101, S22, B01, 1
B01, Trade, 85392.769, 103, B01, S08, 1
B01, Trade, 85399.865, 104, B01, S02, 1
B01, Trade, 85405.154, 102, B01, S09, 1
B01, Trade, 85417.404, 106, B01, S24, 1
B01, Trade, 85431.500, 104, B01, S20, 1
B01, Trade, 85440.615, 102, B01, S12, 1
B01, Trade, 85449.173, 108, P01, B01, 1
B01, Trade, 85458.423, 106, S19, B01, 1
B01, Trade, 85470.885, 106, B01, S10, 1
B01, Trade, 85486.346, 102, S24, B01, 1
B01, Trade, 85498.192, 105, S02, B01, 1
B01, Trade, 85504.038, 107, S13, B01, 1
B01, Trade, 85512.846, 102, S23, B01, 1
B01, Trade, 85526.904, 103, B01, S14, 1
B01, Trade, 85535.904, 106, B01, S02, 1
B01, Trade, 85550.808, 103, B01, S24, 1
B01, Trade, 85560.173, 101, B01, S17, 1
B01, Trade, 85576.942, 109, B01, S24, 1
B01, Trade, 85583.288, 108, B01, S07, 1
B01, Trade, 85599.692, 100, B01, S19, 1
B01, Trade, 85608.019, 107, B01, S16, 1
B01, Trade, 85615.327, 106, S15, B01, 1
B01, Trade, 85629.731, 105, B01, S10, 1
B01, Trade, 85642.000, 102, B01, S16, 1
B01, Trade, 85645.000, 98, B01, S19, 1
B01, Trade, 85663.346, 100, B01, S12, 1
B01, Trade, 85684.462, 104, S15, B01, 1
B01, Trade, 85694.269, 100, B01, S02, 1
B01, Trade, 85724.500, 100, B01, S10, 1
B01, Trade, 85739.538, 106, S01, B01, 1
