B00, 100
B00, Trade, 83523.058, 180, S12, B00, 1
B00, Trade, 83559.058, 170, S03, B00, 1
B00, Trade, 83607.462, 176, S01, B00, 1
B00, Trade, 83619.231, 179, S09, B00, 1
B00, Trade, 83691.192, 175, S12, B00, 1
B00, Trade, 83713.673, 176, S12, B00, 1
B00, Trade, 83728.250, 176, S08, B00, 1
B00, Trade, 83750.288, 174, P01, B00, 1
B00, Trade, 83849.558, 177, S16, B00, 1
B00, Trade, 83882.558, 172, S02, B00, 1
B00, Trade, 83902.904, 175, P01, B00, 1
B00, Trade, 83923.442, 176, B00, S06, 1
B00, Trade, 83956.500, 179, S02, B00, 1
B00, Trade, 83969.077, 171, P01, B00, 1
B00, Trade, 83990.750, 175, S13, B00, 1
B00, Trade, 84022.288, 168, S02, B00, 1
B00, Trade, 84040.577, 177, S10, B00, 1
B00, Trade, 84048.846, 177, S18, B00, 1
B00, Trade, 84050.231, 175, S11, B00, 1
B00, Trade, 84063.654, 174, S20, B00, 1
B00, Trade, 84098.904, 177, B00, S15, 1
B00, Trade, 84110.558, 177, S15, B00, 1
B00, Trade, 84152.962, 173, S23, B00, 1
B00, Trade, 84156.538, 173, P01, B00, 1
B00, Trade, 84208.538, 179, S17, B00, 1
B00, Trade, 84270.250, 180, S16, B00, 1
B00, Trade, 84274.923, 175, S11, B00, 1
B00, Trade, 84288.904, 177, S14, B00, 1
B00, Trade, 84320.731, 172, S08, B00, 1
B00, Trade, 84360.904, 169, S19, B00, 1
B00, Trade, 84388.442, 175, S24, B00, 1
B00, Trade, 84397.231, 175, S10, B00, 1
B00, Trade, 84408.231, 165, S11, B00, 1
B00, Trade, 84434.596, 167, P01, B00, 1
B00, Trade, 84490.115, 171, B00, S08, 1
B00, Trade, 84492.385, 169, P01, B00, 1
B00, Trade, 84509.885, 175, B00, S09, 1
B00, Trade, 84554.481, 166, B00, S24, 1
B00, Trade, 84587.365, 173, S11, B00, 1
B00, Trade, 84603.615, 168, P01, B00, 1
B00, Trade, 84633.154, 167, S18, B00, 1
B00, Trade, 84646.731, 165, S06, B00, 1
B00, Trade, 84681.577, 172, S13, B00, 1
B00, Trade, 84685.038, 172, S17, B00, 1
B00, Trade, 84703.808, 172, S09, B00, 1
B00, Trade, 84722.769, 168, S22, B00, 1
B00, Trade, 84785.019, 166, S20, B00, 1
B00, Trade, 84811.365, 166, S20, B00, 1
B00, Trade, 84817.154, 172, S06, B00, 1
B00, Trade, 84832.058, 173, S11, B00, 1
B00, Trade, 84848.096, 169, S16, B00, 1
B00, Trade, 84853.212, 166, S10, B00, 1
B00, Trade, 84868.538, 165, S03, B00, 1
B00, Trade, 84889.346, 173, S16, B00, 1
B00, Trade, 84927.077, 170, S21, B00, 1
B00, Trade, 84955.135, 170, B00, S23, 1
B00, Trade, 84981.942, 167, B00, S15, 1
B00, Trade, 85081.865, 179, S18, B00, 1
B00, Trade, 85090.615, 172, S20, B00, 1
B00, Trade, 85107.654, 174, S24, B00, 1
B00, Trade, 85119.712, 170, P01, B00, 1
B00, Trade, 85144.615, 179, S24, B00, 1
B00, Trade, 85157.923, 175, S16, B00, 1
B00, Trade, 85213.942, 177, S12, B00, 1
B00, Trade, 85235.904, 176, S17, B00, 1
B00, Trade, 85276.904, 177, B00, S05, 1
B00, Trade, 85338.788, 171, S10, B00, 1
B00, Trade, 85379.346, 169, S21, B00, 1
B00, Trade, 85390.192, 171, S17, B00, 1
B00, Trade, 85447.404, 175, S09, B00, 1
B00, Trade, 85452.385, 170, S22, B00, 1
B00, Trade, 85461.500, 170, P01, B00, 1
B00, Trade, 85468.173, 176, S19, B00, 1
B00, Trade, 85489.558, 172, B00, S18, 1
B00, Trade, 85528.635, 169, S07, B00, 1
B00, Trade, 85535.250, 175, B00, S03, 1
B00, Trade, 85561.115, 171, S08, B00, 1
B00, Trade, 85615.212, 173, S05, B00, 1
B00, Trade, 85650.250, 171, S05, B00, 1
B00, Trade, 85690.596, 174, S05, B00, 1
B00, Trade, 85725.923, 173, S05, B00, 1
B00, Trade, 85733.788, 170, S18, B00, 1
B00, Trade, 85777.654, 174, S11, B00, 1
B00, Trade, 85789.923, 169, S21, B00, 1
B00, Trade, 85848.019, 167, S02, B00, 1
B00, Trade, 85896.077, 167, S14, B00, 1
B00, Trade, 85931.500, 174, S17, B00, 1
B00, Trade, 85941.038, 178, S17, B00, 1
B00, Trade, 85958.115, 177, S14, B00, 1
B00, Trade, 86046.365, 173, B00, S00, 1
B00, Trade, 86086.923, 175, S21, B00, 1
B00, Trade, 86095.231, 173, S24, B00, 1
B00, Trade, 86132.365, 177, S15, B00, 1
B00, Trade, 86158.538, 168, P01, B00, 1
B00, Trade, 86267.865, 169, S07, B00, 1
B00, Trade, 86285.827, 169, B00, S24, 1
B00, Trade, 86320.269, 174, S08, B00, 1
B00, Trade, 86343.058, 167, S13, B00, 1
B00, Trade, 86349.654, 174, S16, B00, 1
B00, Trade, 86388.654, 177, S12, B00, 1
B01, 100
B01, Trade, 85149.596, 168, S22, B01, 1
B01, Trade, 85165.288, 173, B01, S24, 1
B01, Trade, 85170.404, 174, S14, B01, 1
B01, Trade, 85174.500, 172, S10, B01, 1
B01, Trade, 85201.481, 164, B01, S09, 1
B01, Trade, 85211.365, 167, B01, S13, 1
B01, Trade, 85219.115, 174, B01, S11, 1
B01, Trade, 85229.635, 171, B01, S14, 1
B01, Trade, 85237.096, 175, B01, S07, 1
B01, Trade, 85248.135, 168, B01, S07, 1
B01, Trade, 85262.019, 168, B01, S23, 1
B01, Trade, 85268.462, 169, B01, S12, 1
B01, Trade, 85280.038, 177, B01, S13, 1
B01, Trade, 85291.365, 165, B01, S22, 1
B01, Trade, 85301.769, 170, B01, S11, 1
B01, Trade, 85310.231, 170, B01, S15, 1
B01, Trade, 85332.635, 166, B01, S23, 1
B01, Trade, 85341.288, 167, B01, S15, 1
B01, Trade, 85350.423, 167, B01, S02, 1
B01, Trade, 85356.769, 170, B01, S04, 1
B01, Trade, 85370.481, 170, B01, S12, 1
B01, Trade, 85374.481, 174, B01, S09, 1
B01, Trade, 85382.019, 169, S13, B01, 1
B01, Trade, 85405.519, 173, B01, S11, 1
B01, Trade, 85417.346, 170, B01, S12, 1
B01, Trade, 85434.846, 170, B01, S03, 1
B01, Trade, 85455.077, 171, B01, S14, 1
B01, Trade, 85473.365, 170, B01, S19, 1
B01, Trade, 85495.788, 171, B01, S12, 1
B01, Trade, 85513.577, 169, B01, S06, 1
B01, Trade, 85521.231, 170, B01, S07, 1
B01, Trade, 85531.692, 171, B01, S23, 1
B01, Trade, 85543.654, 177, S11, B01, 1
B01, Trade, 85565.577, 166, B01, S24, 1
B01, Trade, 85580.327, 168, B01, S12, 1
B01, Trade, 85583.827, 167, B01, S09, 1
B01, Trade, 85597.750, 173, B01, S13, 1
B01, Trade, 85613.846, 171, B01, S07, 1
B01, Trade, 85630.981, 170, S01, B01, 1
B01, Trade, 85654.269, 167, B01, S23, 1
B01, Trade, 85671.000, 171, B01, S06, 1
B01, Trade, 85687.096, 171, S14, B01, 1
B01, Trade, 85695.423, 174, B01, S01, 1
B01, Trade, 85713.923, 171, B01, S00, 1
B01, Trade, 85718.923, 172, B01, S24, 1
B01, Trade, 85733.519, 169, B01, S01, 1
B01, Trade, 85752.231, 169, B01, S00, 1
B01, Trade, 85768.673, 175, B01, S14, 1
