B00, 100
B00, Trade, 85278.519, 167, S14, B00, 1
B00, Trade, 85284.135, 168, S08, B00, 1
B00, Trade, 85293.154, 175, S24, B00, 1
B00, Trade, 85305.558, 160, S14, B00, 1
B00, Trade, 85323.558, 168, S21, B00, 1
B00, Trade, 85337.077, 167, P00, B00, 1
B00, Trade, 85363.846, 165, B00, S22, 1
B00, Trade, 85370.923, 167, S16, B00, 1
B00, Trade, 85373.731, 171, S06, B00, 1
B00, Trade, 85383.692, 176, S01, B00, 1
B00, Trade, 85398.962, 165, S21, B00, 1
B00, Trade, 85411.385, 164, S06, B00, 1
B00, Trade, 85419.635, 165, S12, B00, 1
B00, Trade, 85427.558, 164, B00, S11, 1
B00, Trade, 85438.673, 167, B00, S10, 1
B00, Trade, 85449.000, 168, S00, B00, 1
B00, Trade, 85455.558, 166, S01, B00, 1
B00, Trade, 85468.538, 174, S11, B00, 1
B00, Trade, 85481.673, 166, S19, B00, 1
B00, Trade, 85483.577, 167, P00, B00, 1
B00, Trade, 85494.212, 166, B00, S10, 1
B00, Trade, 85511.750, 165, S11, B00, 1
B00, Trade, 85514.538, 166, S01, B00, 1
B00, Trade, 85534.173, 169, S04, B00, 1
B00, Trade, 85544.135, 167, S23, B00, 1
B00, Trade, 85558.288, 164, S19, B00, 1
B00, Trade, 85572.654, 166, S09, B00, 1
B00, Trade, 85576.808, 162, S10, B00, 1
B00, Trade, 85589.308, 175, S11, B00, 1
B00, Trade, 85596.308, 172, S01, B00, 1
B00, Trade, 85606.885, 167, B00, S07, 1
B00, Trade, 85619.673, 166, S14, B00, 1
B00, Trade, 85624.365, 166, S21, B00, 1
B00, Trade, 85635.827, 167, B00, S16, 1
B00, Trade, 85665.250, 167, B00, S17, 1
B00, Trade, 85672.365, 168, S12, B00, 1
B00, Trade, 85673.192, 169, S13, B00, 1
B00, Trade, 85687.712, 169, S13, B00, 1
B00, Trade, 85697.346, 159, B00, S15, 1
B00, Trade, 85712.096, 161, S10, B00, 1
B00, Trade, 85722.712, 166, S02, B00, 1
B00, Trade, 85726.173, 175, S13, B00, 1
B00, Trade, 85743.865, 162, S21, B00, 1
B00, Trade, 85758.846, 167, S19, B00, 1
B00, Trade, 85774.308, 160, B00, S17, 1
B00, Trade, 85780.846, 161, S03, B00, 1
B00, Trade, 85798.904, 171, S07, B00, 1
B00, Trade, 85807.135, 170, S09, B00, 1
B00, Trade, 85814.712, 166, S23, B00, 1
B00, Trade, 85825.942, 164, S20, B00, 1
B00, Trade, 85837.442, 161, S13, B00, 1
B00, Trade, 85847.038, 169, S00, B00, 1
B00, Trade, 85864.712, 161, B00, S20, 1
B00, Trade, 85880.212, 170, B00, S18, 1
B00, Trade, 85893.346, 167, S03, B00, 1
B00, Trade, 85897.654, 165, S16, B00, 1
B00, Trade, 85910.846, 171, S14, B00, 1
B00, Trade, 85923.019, 168, S02, B00, 1
B00, Trade, 85931.654, 164, S09, B00, 1
B00, Trade, 85943.019, 164, S12, B00, 1
B00, Trade, 85949.019, 163, S24, B00, 1
B00, Trade, 85957.231, 171, S09, B00, 1
B00, Trade, 85971.846, 175, B00, S03, 1
B00, Trade, 85978.962, 159, S23, B00, 1
B00, Trade, 85989.481, 167, S16, B00, 1
B00, Trade, 86000.981, 168, B00, S07, 1
B00, Trade, 86016.346, 173, S19, B00, 1
B00, Trade, 86029.365, 168, S06, B00, 1
B00, Trade, 86034.615, 169, P00, B00, 1
B00, Trade, 86043.500, 169, S08, B00, 1
B00, Trade, 86063.500, 168, B00, S15, 1
B00, Trade, 86066.692, 167, P00, B00, 1
B00, Trade, 86082.558, 168, B00, S06, 1
B00, Trade, 86093.115, 171, S20, B00, 1
B00, Trade, 86105.846, 172, B00, S00, 1
B00, Trade, 86115.288, 165, P00, B00, 1
B00, Trade, 86125.596, 168, S17, B00, 1
B00, Trade, 86147.250, 163, S17, B00, 1
B00, Trade, 86164.635, 168, B00, S21, 1
B00, Trade, 86169.288, 166, S12, B00, 1
B00, Trade, 86178.231, 169, S23, B00, 1
B00, Trade, 86193.346, 166, S08, B00, 1
B00, Trade, 86198.865, 171, B00, S11, 1
B00, Trade, 86210.019, 169, S14, B00, 1
B00, Trade, 86221.019, 169, S19, B00, 1
B00, Trade, 86230.404, 171, S11, B00, 1
B00, Trade, 86242.058, 169, S03, B00, 1
B00, Trade, 86256.327, 166, S00, B00, 1
B00, Trade, 86269.423, 168, S19, B00, 1
B00, Trade, 86293.692, 167, B00, S24, 1
B00, Trade, 86303.212, 166, B00, S15, 1
B00, Trade, 86311.962, 169, S03, B00, 1
B00, Trade, 86319.231, 170, S22, B00, 1
B00, Trade, 86325.712, 175, S12, B00, 1
B00, Trade, 86337.712, 171, S16, B00, 1
B00, Trade, 86349.346, 165, P00, B00, 1
B00, Trade, 86362.212, 169, B00, S18, 1
B00, Trade, 86368.942, 165, S23, B00, 1
B00, Trade, 86380.615, 168, S22, B00, 1
B00, Trade, 86390.615, 177, S14, B00, 1
B01, 100
B01, Trade, 85029.962, 170, S24, B01, 1
B01, Trade, 85039.596, 164, B01, S06, 1
B01, Trade, 85050.192, 175, B01, S21, 1
B01, Trade, 85061.038, 173, S11, B01, 1
B01, Trade, 85070.385, 166, S06, B01, 1
B01, Trade, 85079.404, 163, B01, S00, 1
B01, Trade, 85086.192, 168, P00, B01, 1
B01, Trade, 85106.000, 165, B01, S24, 1
B01, Trade, 85123.885, 169, S04, B01, 1
B01, Trade, 85134.115, 169, S09, B01, 1
B01, Trade, 85166.423, 164, S22, B01, 1
B01, Trade, 85178.442, 166, B01, S09, 1
B01, Trade, 85194.096, 164, B01, S17, 1
B01, Trade, 85200.327, 173, S20, B01, 1
B01, Trade, 85217.038, 169, B01, S08, 1
B01, Trade, 85229.923, 167, B01, S03, 1
B01, Trade, 85239.481, 162, S03, B01, 1
B01, Trade, 85246.288, 166, B01, S20, 1
B01, Trade, 85255.038, 167, B01, S17, 1
B01, Trade, 85267.788, 168, P00, B01, 1
B01, Trade, 85297.115, 164, B01, S07, 1
B01, Trade, 85298.673, 171, S04, B01, 1
B01, Trade, 85315.635, 165, B01, S13, 1
B01, Trade, 85330.615, 167, B01, S07, 1
B01, Trade, 85347.519, 169, B01, S19, 1
B01, Trade, 85376.154, 173, S08, B01, 1
B01, Trade, 85390.269, 172, B01, S06, 1
B01, Trade, 85405.192, 160, B01, S17, 1
B01, Trade, 85415.154, 163, S21, B01, 1
B01, Trade, 85418.423, 163, S00, B01, 1
B01, Trade, 85422.500, 165, S19, B01, 1
B01, Trade, 85448.500, 166, B01, S17, 1
B01, Trade, 85453.942, 165, S06, B01, 1
B01, Trade, 85468.846, 174, S13, B01, 1
B01, Trade, 85481.250, 166, B01, S15, 1
B01, Trade, 85503.365, 168, B01, S14, 1
B01, Trade, 85507.885, 160, S08, B01, 1
B01, Trade, 85527.269, 175, S14, B01, 1
B01, Trade, 85544.173, 164, B01, S04, 1
B01, Trade, 85552.808, 170, S24, B01, 1
B01, Trade, 85566.019, 164, S19, B01, 1
B01, Trade, 85579.212, 160, B01, S24, 1
B01, Trade, 85591.885, 169, B01, S02, 1
B01, Trade, 85600.346, 169, S21, B01, 1
B01, Trade, 85628.231, 159, B01, S24, 1
B01, Trade, 85629.731, 166, S00, B01, 1
B01, Trade, 85639.500, 168, B01, S00, 1
B01, Trade, 85653.865, 162, B01, S07, 1
B01, Trade, 85665.673, 166, S10, B01, 1
B01, Trade, 85686.558, 164, B01, S00, 1
B01, Trade, 85693.154, 165, S19, B01, 1
B01, Trade, 85720.442, 165, S10, B01, 1
B01, Trade, 85740.654, 162, B01, S08, 1
B01, Trade, 85745.462, 164, S03, B01, 1
B01, Trade, 85754.769, 166, S16, B01, 1
B01, Trade, 85790.077, 158, B01, S02, 1
B01, Trade, 85799.519, 170, S23, B01, 1
B01, Trade, 85805.846, 163, S16, B01, 1
B01, Trade, 85829.923, 164, B01, S24, 1
B01, Trade, 85841.577, 164, B01, S10, 1
B01, Trade, 85852.885, 164, S16, B01, 1
B01, Trade, 85858.750, 164, S04, B01, 1
B01, Trade, 85874.788, 163, B01, S24, 1
B01, Trade, 85875.635, 167, S09, B01, 1
B01, Trade, 85902.538, 164, S21, B01, 1
B01, Trade, 85915.365, 171, B01, S22, 1
B01, Trade, 85917.442, 165, B01, S15, 1
B01, Trade, 85933.481, 168, S01, B01, 1
B01, Trade, 85945.481, 169, S02, B01, 1
B01, Trade, 85965.173, 174, S01, B01, 1
B01, Trade, 85994.673, 167, S23, B01, 1
B01, Trade, 86004.846, 167, B01, S20, 1
B01, Trade, 86028.712, 165, B01, S17, 1
B01, Trade, 86030.346, 169, S08, B01, 1
B01, Trade, 86043.885, 167, B01, S07, 1
B01, Trade, 86060.673, 170, S09, B01, 1
B01, Trade, 86078.692, 170, S12, B01, 1
B01, Trade, 86086.000, 169, B01, S17, 1
B01, Trade, 86112.808, 163, S14, B01, 1
B01, Trade, 86123.692, 169, S07, B01, 1
B01, Trade, 86144.750, 169, S21, B01, 1
B01, Trade, 86154.904, 165, B01, S05, 1
B01, Trade, 86164.231, 169, B01, S18, 1
B01, Trade, 86172.288, 166, B01, S07, 1
B01, Trade, 86190.231, 168, S12, B01, 1
B01, Trade, 86199.250, 171, S19, B01, 1
B01, Trade, 86208.962, 167, B01, S17, 1
B01, Trade, 86226.000, 169, B01, S15, 1
B01, Trade, 86229.731, 169, B01, S06, 1
B01, Trade, 86239.577, 163, B01, S13, 1
B01, Trade, 86251.327, 167, S08, B01, 1
B01, Trade, 86269.115, 164, B01, S00, 1
B01, Trade, 86286.865, 172, S13, B01, 1
B01, Trade, 86321.712, 160, B01, S16, 1
B01, Trade, 86324.538, 163, B01, S14, 1
B01, Trade, 86346.942, 163, B01, S19, 1
B01, Trade, 86355.327, 169, B01, S16, 1
B01, Trade, 86364.615, 171, S09, B01, 1
B01, Trade, 86381.462, 167, B01, S04, 1
B01, Trade, 86394.442, 172, B01, S13, 1
B02, 100
B02, Trade, 85006.000, 169, B02, S08, 1
B02, Trade, 85016.250, 166, B02, S06, 1
B02, Trade, 85031.731, 167, B02, S08, 1
B02, Trade, 85036.558, 167, S20, B02, 1
B02, Trade, 85047.231, 172, S02, B02, 1
B02, Trade, 85088.865, 169, S20, B02, 1
B02, Trade, 85106.077, 165, B02, S16, 1
B02, Trade, 85108.981, 170, P00, B02, 1
B02, Trade, 85144.077, 168, S01, B02, 1
B02, Trade, 85162.673, 165, B02, S14, 1
B02, Trade, 85181.346, 166, P00, B02, 1
B02, Trade, 85194.577, 165, P00, B02, 1
B02, Trade, 85214.865, 170, P00, B02, 1
B02, Trade, 85231.846, 168, S13, B02, 1
B02, Trade, 85242.635, 168, S13, B02, 1
B02, Trade, 85258.923, 160, B02, S22, 1
B02, Trade, 85281.654, 167, P00, B02, 1
B02, Trade, 85294.192, 166, B02, S01, 1
B02, Trade, 85295.000, 172, S12, B02, 1
B02, Trade, 85309.346, 165, B02, S17, 1
B02, Trade, 85323.192, 166, B02, S15, 1
B02, Trade, 85326.962, 167, S12, B02, 1
B02, Trade, 85346.865, 170, B02, S23, 1
B02, Trade, 85348.712, 168, S21, B02, 1
B02, Trade, 85363.000, 165, B02, S15, 1
B02, Trade, 85374.846, 168, B02, S02, 1
B02, Trade, 85380.038, 175, S07, B02, 1
B02, Trade, 85394.288, 167, S23, B02, 1
B02, Trade, 85414.096, 167, B02, S10, 1
B02, Trade, 85425.827, 165, B02, S24, 1
B02, Trade, 85439.827, 169, P00, B02, 1
B02, Trade, 85454.250, 163, B02, S20, 1
B02, Trade, 85475.462, 166, S16, B02, 1
B02, Trade, 85489.365, 168, S21, B02, 1
B02, Trade, 85503.942, 163, B02, S16, 1
B02, Trade, 85517.346, 167, S06, B02, 1
B02, Trade, 85529.500, 173, S16, B02, 1
B02, Trade, 85559.115, 161, B02, S09, 1
B02, Trade, 85560.615, 165, S03, B02, 1
B02, Trade, 85566.135, 167, S01, B02, 1
B02, Trade, 85604.423, 162, B02, S10, 1
B02, Trade, 85620.615, 160, B02, S07, 1
B02, Trade, 85622.923, 167, S14, B02, 1
B02, Trade, 85646.538, 164, S23, B02, 1
B02, Trade, 85659.692, 167, B02, S14, 1
B02, Trade, 85665.346, 170, S21, B02, 1
B02, Trade, 85682.212, 162, B02, S17, 1
B02, Trade, 85684.692, 168, S14, B02, 1
B02, Trade, 85698.327, 158, B02, S02, 1
B02, Trade, 85706.385, 162, P00, B02, 1
B02, Trade, 85717.519, 162, S12, B02, 1
B02, Trade, 85730.788, 173, B02, S09, 1
B02, Trade, 85752.827, 161, B02, S15, 1
B02, Trade, 85756.904, 166, S03, B02, 1
B02, Trade, 85767.000, 163, B02, S00, 1
B02, Trade, 85778.077, 161, S19, B02, 1
B02, Trade, 85789.692, 164, S13, B02, 1
B02, Trade, 85808.615, 170, S03, B02, 1
B02, Trade, 85825.981, 165, S16, B02, 1
B02, Trade, 85846.212, 168, B02, S17, 1
B02, Trade, 85852.750, 169, S12, B02, 1
B02, Trade, 85859.577, 163, B02, S24, 1
B02, Trade, 85875.673, 162, B02, S03, 1
B02, Trade, 85905.538, 170, S13, B02, 1
B02, Trade, 85915.712, 169, B02, S24, 1
B02, Trade, 85936.654, 161, B02, S24, 1
B02, Trade, 85947.404, 161, B02, S15, 1
B02, Trade, 85952.788, 177, S19, B02, 1
B02, Trade, 85964.558, 174, B02, S22, 1
B02, Trade, 85976.538, 155, B02, S17, 1
B02, Trade, 85979.423, 160, S09, B02, 1
B02, Trade, 86002.038, 168, S21, B02, 1
B02, Trade, 86011.365, 169, B02, S23, 1
B02, Trade, 86025.904, 166, B02, S00, 1
B02, Trade, 86055.231, 161, S12, B02, 1
B02, Trade, 86074.365, 163, B02, S08, 1
B02, Trade, 86081.692, 168, B02, S01, 1
B02, Trade, 86095.385, 170, S19, B02, 1
B02, Trade, 86105.538, 178, S11, B02, 1
B02, Trade, 86123.115, 165, B02, S15, 1
B02, Trade, 86125.827, 168, S14, B02, 1
B02, Trade, 86141.192, 168, S01, B02, 1
B02, Trade, 86154.923, 171, S00, B02, 1
B02, Trade, 86174.269, 169, S02, B02, 1
B02, Trade, 86190.385, 169, S09, B02, 1
B02, Trade, 86195.500, 172, S00, B02, 1
B02, Trade, 86210.269, 166, B02, S22, 1
B02, Trade, 86226.154, 171, S00, B02, 1
B02, Trade, 86247.212, 164, B02, S15, 1
B02, Trade, 86250.269, 164, B02, S16, 1
B02, Trade, 86261.885, 164, P00, B02, 1
B02, Trade, 86273.923, 166, B02, S20, 1
B02, Trade, 86286.712, 171, B02, S21, 1
B02, Trade, 86301.808, 169, S20, B02, 1
B02, Trade, 86321.673, 176, S13, B02, 1
B02, Trade, 86330.269, 167, S23, B02, 1
B02, Trade, 86350.231, 170, S08, B02, 1
B02, Trade, 86361.154, 170, B02, S05, 1
B02, Trade, 86385.058, 163, B02, S17, 1
B02, Trade, 86388.635, 177, S10, B02, 1
B03, 100
B03, Trade, 85191.904, 167, B03, S22, 1
B03, Trade, 85199.404, 163, S15, B03, 1
B03, Trade, 85208.462, 167, S18, B03, 1
B03, Trade, 85228.962, 164, B03, S16, 1
B03, Trade, 85236.827, 158, B03, S01, 1
B03, Trade, 85242.308, 162, S22, B03, 1
B03, Trade, 85253.712, 173, S13, B03, 1
B03, Trade, 85274.904, 169, S23, B03, 1
B03, Trade, 85291.250, 171, S15, B03, 1
B03, Trade, 85304.519, 178, B03, S22, 1
B03, Trade, 85311.192, 172, S04, B03, 1
B03, Trade, 85328.365, 168, P00, B03, 1
B03, Trade, 85339.423, 165, S19, B03, 1
B03, Trade, 85343.462, 176, S13, B03, 1
B03, Trade, 85362.750, 167, B03, S12, 1
B03, Trade, 85370.096, 163, B03, S04, 1
B03, Trade, 85373.250, 170, P00, B03, 1
B03, Trade, 85392.731, 171, S19, B03, 1
B03, Trade, 85402.462, 165, S16, B03, 1
B03, Trade, 85410.865, 164, S14, B03, 1
B03, Trade, 85423.558, 165, B03, S23, 1
B03, Trade, 85427.577, 168, S20, B03, 1
B03, Trade, 85439.808, 164, B03, S04, 1
B03, Trade, 85478.442, 167, S11, B03, 1
B03, Trade, 85492.077, 167, B03, S15, 1
B03, Trade, 85511.577, 166, S21, B03, 1
B03, Trade, 85520.712, 170, S13, B03, 1
B03, Trade, 85524.692, 161, B03, S24, 1
B03, Trade, 85535.154, 173, S23, B03, 1
B03, Trade, 85546.808, 169, S17, B03, 1
B03, Trade, 85557.154, 167, S21, B03, 1
B03, Trade, 85573.327, 167, S13, B03, 1
B03, Trade, 85595.423, 168, B03, S17, 1
B03, Trade, 85596.788, 172, S08, B03, 1
B03, Trade, 85609.288, 168, S06, B03, 1
B03, Trade, 85630.077, 167, S07, B03, 1
B03, Trade, 85650.731, 163, S21, B03, 1
B03, Trade, 85654.423, 166, S16, B03, 1
B03, Trade, 85680.558, 172, P00, B03, 1
B03, Trade, 85697.288, 165, S04, B03, 1
B03, Trade, 85711.250, 162, S01, B03, 1
B03, Trade, 85726.000, 169, B03, S23, 1
B03, Trade, 85747.865, 160, B03, S22, 1
B03, Trade, 85758.654, 165, S02, B03, 1
B03, Trade, 85766.885, 169, B03, S17, 1
B03, Trade, 85778.346, 160, S00, B03, 1
B03, Trade, 85784.481, 161, P00, B03, 1
B03, Trade, 85793.942, 169, S11, B03, 1
B03, Trade, 85810.154, 162, S00, B03, 1
B03, Trade, 85820.596, 168, B03, S06, 1
B03, Trade, 85829.731, 166, S09, B03, 1
B03, Trade, 85837.731, 164, S20, B03, 1
B03, Trade, 85851.173, 163, B03, S22, 1
B03, Trade, 85857.750, 168, S01, B03, 1
B03, Trade, 85868.885, 159, S06, B03, 1
B03, Trade, 85877.038, 166, S00, B03, 1
B03, Trade, 85884.365, 169, B03, S00, 1
B03, Trade, 85903.423, 166, S01, B03, 1
B03, Trade, 85915.115, 174, S20, B03, 1
B03, Trade, 85925.231, 168, S04, B03, 1
B03, Trade, 85934.385, 171, S03, B03, 1
B03, Trade, 85949.269, 165, P00, B03, 1
B03, Trade, 85964.231, 176, S21, B03, 1
B03, Trade, 85975.731, 159, B03, S11, 1
B03, Trade, 85982.365, 170, S19, B03, 1
B03, Trade, 85985.885, 169, S14, B03, 1
B03, Trade, 85998.923, 171, S23, B03, 1
B03, Trade, 86022.904, 164, B03, S20, 1
B03, Trade, 86027.942, 168, S01, B03, 1
B03, Trade, 86039.385, 165, B03, S22, 1
B03, Trade, 86044.519, 171, S23, B03, 1
B03, Trade, 86062.365, 170, S21, B03, 1
B03, Trade, 86079.981, 166, B03, S03, 1
B03, Trade, 86088.750, 171, S17, B03, 1
B03, Trade, 86097.962, 165, B03, S04, 1
B03, Trade, 86114.385, 164, S09, B03, 1
B03, Trade, 86119.808, 169, S01, B03, 1
B03, Trade, 86132.577, 173, S06, B03, 1
B03, Trade, 86144.615, 159, B03, S00, 1
B03, Trade, 86178.904, 164, B03, S15, 1
B03, Trade, 86179.827, 170, S03, B03, 1
B03, Trade, 86190.135, 168, S06, B03, 1
B03, Trade, 86195.846, 173, S21, B03, 1
B03, Trade, 86211.846, 168, S08, B03, 1
B03, Trade, 86232.096, 171, S08, B03, 1
B03, Trade, 86246.962, 166, S10, B03, 1
B03, Trade, 86251.750, 167, S09, B03, 1
B03, Trade, 86263.635, 162, B03, S01, 1
B03, Trade, 86273.019, 168, S01, B03, 1
B03, Trade, 86277.308, 166, S06, B03, 1
B03, Trade, 86284.615, 172, B03, S15, 1
B03, Trade, 86303.904, 165, B03, S00, 1
B03, Trade, 86320.635, 173, S23, B03, 1
B03, Trade, 86328.769, 168, S02, B03, 1
B03, Trade, 86336.962, 167, B03, S14, 1
B03, Trade, 86353.442, 174, S12, B03, 1
B03, Trade, 86355.269, 170, B03, S22, 1
B03, Trade, 86367.346, 172, S23, B03, 1
B03, Trade, 86381.788, 170, S13, B03, 1
B03, Trade, 86385.212, 177, S19, B03, 1
B04, 100
B04, Trade, 85011.923, 167, S13, B04, 1
B04, Trade, 85025.058, 156, B04, S00, 1
B04, Trade, 85034.404, 166, B04, S16, 1
B04, Trade, 85066.212, 166, B04, S04, 1
B04, Trade, 85078.538, 165, B04, S15, 1
B04, Trade, 85082.712, 168, S06, B04, 1
B04, Trade, 85092.462, 162, B04, S09, 1
B04, Trade, 85104.942, 167, S11, B04, 1
B04, Trade, 85138.673, 170, S06, B04, 1
B04, Trade, 85146.192, 170, S15, B04, 1
B04, Trade, 85162.212, 167, B04, S06, 1
B04, Trade, 85177.442, 170, S23, B04, 1
B04, Trade, 85184.885, 167, B04, S11, 1
B04, Trade, 85197.808, 160, B04, S03, 1
B04, Trade, 85228.173, 165, B04, S09, 1
B04, Trade, 85244.231, 168, S21, B04, 1
B04, Trade, 85253.173, 170, S09, B04, 1
B04, Trade, 85314.865, 166, B04, S09, 1
B04, Trade, 85320.865, 167, S19, B04, 1
B04, Trade, 85334.115, 165, B04, S23, 1
B04, Trade, 85336.000, 165, S22, B04, 1
B04, Trade, 85349.577, 168, S08, B04, 1
B04, Trade, 85361.288, 166, B04, S14, 1
B04, Trade, 85374.596, 170, S09, B04, 1
B04, Trade, 85382.558, 175, S13, B04, 1
B04, Trade, 85412.038, 163, B04, S17, 1
B04, Trade, 85421.981, 163, B04, S16, 1
B04, Trade, 85425.865, 167, S07, B04, 1
B04, Trade, 85439.462, 167, B04, S24, 1
B04, Trade, 85452.635, 165, B04, S20, 1
B04, Trade, 85462.115, 173, S17, B04, 1
