B00, 100
B00, Trade, 84973.923, 109, P00, B00, 1
B00, Trade, 85017.577, 105, S12, B00, 1
B00, Trade, 85022.904, 108, S24, B00, 1
B00, Trade, 85046.981, 105, S10, B00, 1
B00, Trade, 85062.923, 104, B00, S17, 1
B00, Trade, 85083.231, 110, B00, S17, 1
B00, Trade, 85088.577, 105, S00, B00, 1
B00, Trade, 85091.788, 107, S21, B00, 1
B00, Trade, 85123.596, 102, B00, S14, 1
B00, Trade, 85128.846, 111, S02, B00, 1
B00, Trade, 85141.596, 108, B00, S15, 1
B00, Trade, 85147.692, 112, B00, S13, 1
B00, Trade, 85157.577, 110, S24, B00, 1
B00, Trade, 85173.212, 108, S09, B00, 1
B00, Trade, 85194.654, 104, B00, S19, 1
B00, Trade, 85204.923, 107, B00, S12, 1
B00, Trade, 85208.115, 111, S15, B00, 1
B00, Trade, 85213.635, 112, S23, B00, 1
B00, Trade, 85232.346, 110, B00, S06, 1
B00, Trade, 85245.712, 100, B00, S24, 1
B00, Trade, 85263.327, 107, S01, B00, 1
B00, Trade, 85271.846, 98, B00, S21, 1
B00, Trade, 85276.462, 105, S02, B00, 1
B00, Trade, 85295.750, 103, B00, S21, 1
B00, Trade, 85305.942, 106, S24, B00, 1
B00, Trade, 85325.038, 98, B00, S22, 1
B00, Trade, 85328.712, 106, S24, B00, 1
B00, Trade, 85343.192, 103, B00, S01, 1
B00, Trade, 85366.692, 111, S13, B00, 1
B00, Trade, 85377.500, 110, S13, B00, 1
B00, Trade, 85392.635, 106, B00, S00, 1
B00, Trade, 85410.288, 102, B00, S08, 1
B00, Trade, 85411.731, 108, S16, B00, 1
B00, Trade, 85434.692, 104, B00, S10, 1
B00, Trade, 85450.558, 108, S06, B00, 1
B00, Trade, 85458.192, 108, S19, B00, 1
B00, Trade, 85468.769, 103, B00, S11, 1
B00, Trade, 85487.019, 106, S12, B00, 1
B00, Trade, 85510.019, 112, B00, S05, 1
B00, Trade, 85513.942, 111, B00, S16, 1
B00, Trade, 85521.788, 109, S20, B00, 1
B00, Trade, 85530.481, 105, B00, S10, 1
B00, Trade, 85543.404, 109, B00, S05, 1
B00, Trade, 85562.058, 105, B00, S08, 1
B00, Trade, 85574.019, 106, S24, B00, 1
B00, Trade, 85595.500, 109, B00, S07, 1
B00, Trade, 85610.962, 102, B00, S03, 1
B00, Trade, 85612.462, 101, S06, B00, 1
B00, Trade, 85624.231, 112, P00, B00, 1
B00, Trade, 85658.731, 110, S02, B00, 1
B00, Trade, 85671.346, 100, B00, S09, 1
B00, Trade, 85679.673, 105, B00, S22, 1
B00, Trade, 85689.942, 104, B00, S00, 1
B00, Trade, 85701.615, 109, B00, S11, 1
B00, Trade, 85706.346, 105, S02, B00, 1
B00, Trade, 85715.538, 110, S14, B00, 1
B00, Trade, 85739.904, 114, S15, B00, 1
B00, Trade, 85750.096, 108, B00, S18, 1
B00, Trade, 85764.923, 108, B00, S04, 1
B00, Trade, 85770.673, 109, B00, S01, 1
B00, Trade, 85777.115, 107, S00, B00, 1
B00, Trade, 85788.904, 108, B00, S24, 1
B00, Trade, 85798.769, 111, S10, B00, 1
B00, Trade, 85815.154, 100, B00, S22, 1
B00, Trade, 85818.962, 102, S11, B00, 1
B00, Trade, 85836.692, 111, S21, B00, 1
B00, Trade, 85857.827, 103, B00, S14, 1
B00, Trade, 85866.500, 101, S04, B00, 1
B00, Trade, 85881.673, 101, S14, B00, 1
B00, Trade, 85895.577, 93, B00, S10, 1
B00, Trade, 85908.923, 104, S00, B00, 1
B00, Trade, 85934.423, 101, B00, S01, 1
B00, Trade, 85940.308, 105, S23, B00, 1
B00, Trade, 85955.923, 96, S11, B00, 1
B00, Trade, 85989.865, 103, S15, B00, 1
B00, Trade, 86009.981, 99, B00, S24, 1
B00, Trade, 86012.135, 99, S14, B00, 1
B00, Trade, 86020.558, 92, B00, S19, 1
B00, Trade, 86037.654, 106, S19, B00, 1
B00, Trade, 86045.250, 103, S20, B00, 1
B00, Trade, 86099.981, 102, S04, B00, 1
B00, Trade, 86113.192, 100, B00, S17, 1
B00, Trade, 86115.596, 108, P00, B00, 1
B00, Trade, 86139.558, 92, B00, S04, 1
B00, Trade, 86141.538, 103, S02, B00, 1
B00, Trade, 86170.865, 103, S17, B00, 1
B00, Trade, 86193.923, 103, B00, S05, 1
B00, Trade, 86197.923, 98, S02, B00, 1
B00, Trade, 86207.827, 100, S02, B00, 1
B00, Trade, 86229.712, 106, B00, S18, 1
B00, Trade, 86254.692, 99, B00, S22, 1
B00, Trade, 86270.096, 109, S11, B00, 1
B00, Trade, 86280.096, 90, B00, S11, 1
B00, Trade, 86286.019, 97, S20, B00, 1
B00, Trade, 86301.692, 93, B00, S12, 1
B00, Trade, 86336.615, 102, B00, S21, 1
B00, Trade, 86360.750, 100, S19, B00, 1
B00, Trade, 86378.423, 100, B00, S21, 1
B00, Trade, 86382.038, 101, S13, B00, 1
B00, Trade, 86392.385, 104, B00, S21, 1
B01, 100
B01, Trade, 85106.346, 102, B01, S07, 1
B01, Trade, 85123.885, 102, B01, S11, 1
B01, Trade, 85130.827, 106, S06, B01, 1
B01, Trade, 85148.135, 113, S23, B01, 1
B01, Trade, 85160.212, 112, B01, S15, 1
B01, Trade, 85183.731, 102, B01, S13, 1
B01, Trade, 85188.154, 105, S22, B01, 1
B01, Trade, 85208.327, 110, B01, S23, 1
B01, Trade, 85218.192, 114, S12, B01, 1
B01, Trade, 85229.462, 109, B01, S14, 1
B01, Trade, 85239.096, 105, S24, B01, 1
B01, Trade, 85252.212, 104, B01, S07, 1
B01, Trade, 85263.231, 104, B01, S06, 1
B01, Trade, 85298.327, 102, B01, S07, 1
B01, Trade, 85306.019, 106, P00, B01, 1
B01, Trade, 85320.346, 104, S23, B01, 1
B01, Trade, 85322.942, 116, S01, B01, 1
B01, Trade, 85353.288, 102, B01, S11, 1
B01, Trade, 85361.519, 107, S13, B01, 1
B01, Trade, 85365.115, 111, S18, B01, 1
B01, Trade, 85390.615, 111, S16, B01, 1
B01, Trade, 85395.115, 108, P00, B01, 1
B01, Trade, 85416.904, 110, S05, B01, 1
B01, Trade, 85434.519, 107, S24, B01, 1
B01, Trade, 85449.692, 108, B01, S05, 1
B01, Trade, 85467.250, 104, B01, S09, 1
B01, Trade, 85471.500, 107, S22, B01, 1
