B00, 100
B00, Trade, 85262.077, 169, P01, B00, 1
B00, Trade, 85278.115, 171, S01, B00, 1
B00, Trade, 85290.654, 158, B00, S14, 1
B00, Trade, 85299.635, 169, S01, B00, 1
B00, Trade, 85302.327, 171, S23, B00, 1
B00, Trade, 85316.154, 167, S10, B00, 1
B00, Trade, 85328.769, 169, S06, B00, 1
B00, Trade, 85339.904, 163, S13, B00, 1
B00, Trade, 85343.115, 164, S10, B00, 1
B00, Trade, 85355.135, 169, S16, B00, 1
B00, Trade, 85367.538, 165, S24, B00, 1
B00, Trade, 85380.308, 169, P01, B00, 1
B00, Trade, 85392.019, 166, B00, S21, 1
B00, Trade, 85394.538, 168, P01, B00, 1
B00, Trade, 85403.808, 173, S22, B00, 1
B00, Trade, 85418.846, 176, S12, B00, 1
B00, Trade, 85431.788, 166, B00, S15, 1
B00, Trade, 85435.923, 167, P01, B00, 1
B00, Trade, 85449.135, 173, P01, B00, 1
B00, Trade, 85459.692, 168, S07, B00, 1
B00, Trade, 85470.942, 161, B00, S23, 1
B00, Trade, 85483.558, 167, S10, B00, 1
B00, Trade, 85493.635, 168, B00, S16, 1
B00, Trade, 85500.808, 164, S13, B00, 1
B00, Trade, 85511.404, 159, B00, S14, 1
B00, Trade, 85513.942, 161, S17, B00, 1
B00, Trade, 85524.904, 166, S03, B00, 1
B00, Trade, 85533.808, 169, S17, B00, 1
B00, Trade, 85548.115, 167, S21, B00, 1
B00, Trade, 85562.673, 166, S05, B00, 1
B00, Trade, 85567.365, 172, S09, B00, 1
B00, Trade, 85595.788, 167, B00, S04, 1
B00, Trade, 85601.981, 158, B00, S24, 1
B00, Trade, 85612.673, 165, S07, B00, 1
B00, Trade, 85615.385, 168, S17, B00, 1
B00, Trade, 85631.885, 162, S13, B00, 1
B00, Trade, 85643.423, 162, B00, S06, 1
B00, Trade, 85646.250, 170, B00, S22, 1
B00, Trade, 85655.635, 170, S05, B00, 1
B00, Trade, 85669.308, 165, S11, B00, 1
B00, Trade, 85678.750, 167, S03, B00, 1
B00, Trade, 85698.673, 158, B00, S19, 1
B00, Trade, 85713.904, 168, S05, B00, 1
B00, Trade, 85719.769, 171, S08, B00, 1
B00, Trade, 85724.673, 176, S11, B00, 1
B00, Trade, 85736.788, 166, S19, B00, 1
B00, Trade, 85745.250, 166, S20, B00, 1
B00, Trade, 85755.538, 164, P01, B00, 1
B00, Trade, 85776.346, 165, B00, S22, 1
B00, Trade, 85790.808, 161, B00, S04, 1
B00, Trade, 85804.462, 164, P01, B00, 1
B00, Trade, 85807.885, 171, S12, B00, 1
B00, Trade, 85819.731, 169, S13, B00, 1
B00, Trade, 85827.538, 172, S10, B00, 1
B00, Trade, 85834.846, 166, S11, B00, 1
B00, Trade, 85850.269, 168, S02, B00, 1
B00, Trade, 85858.000, 166, S01, B00, 1
B00, Trade, 85869.308, 172, S16, B00, 1
B00, Trade, 85879.250, 172, S20, B00, 1
B00, Trade, 85885.096, 170, S17, B00, 1
B00, Trade, 85913.654, 167, S18, B00, 1
B00, Trade, 85934.308, 169, S09, B00, 1
B00, Trade, 85954.462, 170, S10, B00, 1
B00, Trade, 85963.788, 165, S22, B00, 1
B00, Trade, 85974.635, 164, B00, S08, 1
B00, Trade, 85990.596, 165, S24, B00, 1
B00, Trade, 85993.962, 164, S18, B00, 1
B00, Trade, 86012.712, 161, B00, S11, 1
B00, Trade, 86018.788, 159, S11, B00, 1
B00, Trade, 86032.558, 170, S07, B00, 1
B00, Trade, 86044.019, 167, S20, B00, 1
B00, Trade, 86069.288, 161, S05, B00, 1
B00, Trade, 86072.192, 165, S23, B00, 1
B00, Trade, 86081.077, 171, S10, B00, 1
B00, Trade, 86101.788, 170, S00, B00, 1
B00, Trade, 86112.904, 166, S17, B00, 1
B00, Trade, 86119.885, 168, S13, B00, 1
B00, Trade, 86130.500, 166, S08, B00, 1
B00, Trade, 86138.385, 168, S20, B00, 1
B00, Trade, 86160.500, 165, B00, S20, 1
B00, Trade, 86171.750, 172, S10, B00, 1
B00, Trade, 86178.288, 166, P01, B00, 1
B00, Trade, 86193.096, 169, P01, B00, 1
B00, Trade, 86205.500, 169, S11, B00, 1
B00, Trade, 86221.135, 170, S15, B00, 1
B00, Trade, 86230.904, 163, S17, B00, 1
B00, Trade, 86241.135, 169, B00, S05, 1
B00, Trade, 86272.981, 168, S13, B00, 1
B00, Trade, 86277.769, 163, S10, B00, 1
B00, Trade, 86287.000, 177, S24, B00, 1
B00, Trade, 86303.269, 164, B00, S15, 1
B00, Trade, 86306.942, 171, S24, B00, 1
B00, Trade, 86314.462, 169, S05, B00, 1
B00, Trade, 86323.846, 170, S23, B00, 1
B00, Trade, 86340.885, 162, B00, S16, 1
B00, Trade, 86347.308, 171, S17, B00, 1
B00, Trade, 86362.769, 173, S11, B00, 1
B00, Trade, 86374.981, 167, B00, S06, 1
B00, Trade, 86378.442, 173, S15, B00, 1
B00, Trade, 86396.212, 164, B00, S06, 1
B01, 100
B01, Trade, 85192.538, 164, S13, B01, 1
B01, Trade, 85197.692, 166, S07, B01, 1
B01, Trade, 85205.712, 169, P01, B01, 1
B01, Trade, 85226.288, 162, B01, S02, 1
B01, Trade, 85229.692, 172, S17, B01, 1
B01, Trade, 85236.019, 165, B01, S07, 1
B01, Trade, 85245.750, 166, B01, S13, 1
B01, Trade, 85258.558, 171, S10, B01, 1
B01, Trade, 85285.019, 165, B01, S06, 1
B01, Trade, 85291.962, 164, S07, B01, 1
B01, Trade, 85299.500, 168, P01, B01, 1
B01, Trade, 85305.154, 173, S05, B01, 1
B01, Trade, 85320.712, 163, S08, B01, 1
B01, Trade, 85328.712, 168, S23, B01, 1
B01, Trade, 85332.404, 163, B01, S11, 1
B01, Trade, 85350.192, 172, P01, B01, 1
B01, Trade, 85358.135, 168, S11, B01, 1
B01, Trade, 85380.942, 166, B01, S08, 1
B01, Trade, 85388.865, 169, S08, B01, 1
B01, Trade, 85411.750, 168, S06, B01, 1
B01, Trade, 85424.365, 168, B01, S23, 1
B01, Trade, 85438.615, 166, S08, B01, 1
B01, Trade, 85450.885, 168, S20, B01, 1
B01, Trade, 85453.769, 170, S15, B01, 1
B01, Trade, 85467.846, 171, S17, B01, 1
B01, Trade, 85483.385, 167, S23, B01, 1
B01, Trade, 85486.365, 170, B01, S16, 1
B01, Trade, 85501.115, 165, S20, B01, 1
B01, Trade, 85518.731, 166, S11, B01, 1
B01, Trade, 85530.462, 168, P01, B01, 1
B01, Trade, 85532.846, 168, S14, B01, 1
B01, Trade, 85553.538, 166, S19, B01, 1
B01, Trade, 85559.154, 162, P01, B01, 1
B01, Trade, 85575.346, 168, B01, S14, 1
B01, Trade, 85587.596, 164, B01, S20, 1
B01, Trade, 85594.269, 170, S13, B01, 1
B01, Trade, 85609.269, 156, B01, S06, 1
B01, Trade, 85614.846, 166, P01, B01, 1
B01, Trade, 85632.827, 164, S17, B01, 1
B01, Trade, 85642.154, 164, S11, B01, 1
B01, Trade, 85668.423, 160, B01, S02, 1
B01, Trade, 85675.231, 173, S21, B01, 1
B01, Trade, 85699.058, 159, S07, B01, 1
B01, Trade, 85705.865, 169, S23, B01, 1
B01, Trade, 85714.500, 168, P01, B01, 1
B01, Trade, 85723.981, 174, S19, B01, 1
B01, Trade, 85740.404, 164, S15, B01, 1
B01, Trade, 85747.904, 166, S15, B01, 1
B01, Trade, 85762.115, 165, P01, B01, 1
B01, Trade, 85774.962, 171, S20, B01, 1
B01, Trade, 85784.981, 170, S06, B01, 1
B01, Trade, 85795.827, 166, S24, B01, 1
B01, Trade, 85806.596, 170, S21, B01, 1
B01, Trade, 85823.538, 171, S06, B01, 1
B01, Trade, 85852.269, 171, S20, B01, 1
B01, Trade, 85864.231, 166, S03, B01, 1
B01, Trade, 85865.538, 167, S09, B01, 1
B01, Trade, 85877.442, 172, P01, B01, 1
B01, Trade, 85884.288, 172, S10, B01, 1
B01, Trade, 85899.192, 164, S03, B01, 1
B01, Trade, 85911.519, 165, S13, B01, 1
B01, Trade, 85926.750, 170, S07, B01, 1
B01, Trade, 85929.962, 165, S17, B01, 1
B01, Trade, 85945.654, 168, S07, B01, 1
B01, Trade, 85959.654, 164, S15, B01, 1
B01, Trade, 85970.885, 166, P01, B01, 1
B01, Trade, 85980.231, 165, S05, B01, 1
B01, Trade, 85984.750, 169, S11, B01, 1
B01, Trade, 85995.885, 170, S17, B01, 1
B01, Trade, 86005.558, 162, P01, B01, 1
B01, Trade, 86020.827, 164, S04, B01, 1
B01, Trade, 86041.385, 164, S13, B01, 1
B01, Trade, 86049.962, 173, S10, B01, 1
B01, Trade, 86062.827, 160, B01, S01, 1
B01, Trade, 86069.481, 159, B01, S14, 1
B01, Trade, 86074.788, 166, S04, B01, 1
B01, Trade, 86099.288, 166, S09, B01, 1
B01, Trade, 86113.500, 166, P01, B01, 1
B01, Trade, 86119.096, 167, P01, B01, 1
B01, Trade, 86126.827, 167, P01, B01, 1
B01, Trade, 86135.827, 168, S16, B01, 1
B01, Trade, 86152.750, 171, S15, B01, 1
B01, Trade, 86154.462, 173, S03, B01, 1
B01, Trade, 86171.788, 173, P01, B01, 1
B01, Trade, 86174.308, 174, S14, B01, 1
B01, Trade, 86192.904, 162, B01, S16, 1
B01, Trade, 86194.635, 162, S23, B01, 1
B01, Trade, 86215.942, 169, S04, B01, 1
B01, Trade, 86231.750, 160, B01, S21, 1
B01, Trade, 86242.827, 163, B01, S04, 1
B01, Trade, 86264.481, 168, S18, B01, 1
B01, Trade, 86290.673, 167, S03, B01, 1
B01, Trade, 86303.519, 172, S10, B01, 1
B01, Trade, 86310.673, 168, S11, B01, 1
B01, Trade, 86327.308, 169, B01, S07, 1
B01, Trade, 86342.481, 180, B01, S06, 1
B01, Trade, 86345.308, 174, P01, B01, 1
B01, Trade, 86374.500, 169, B01, S09, 1
B01, Trade, 86377.096, 172, S07, B01, 1
B01, Trade, 86389.615, 166, S07, B01, 1
B02, 100
B02, Trade, 84940.769, 161, B02, S13, 1
B02, Trade, 84953.327, 172, B02, S04, 1
B02, Trade, 84958.981, 170, S24, B02, 1
B02, Trade, 84970.577, 167, B02, S02, 1
B02, Trade, 84979.231, 166, B02, S06, 1
B02, Trade, 84990.750, 166, B02, S21, 1
B02, Trade, 85013.192, 165, S19, B02, 1
B02, Trade, 85041.962, 165, B02, S01, 1
B02, Trade, 85055.385, 160, P01, B02, 1
B02, Trade, 85056.288, 163, B02, S19, 1
B02, Trade, 85071.654, 163, B02, S04, 1
B02, Trade, 85082.577, 157, B02, S01, 1
B02, Trade, 85086.423, 157, B02, S14, 1
B02, Trade, 85106.404, 156, B02, S21, 1
B02, Trade, 85110.077, 167, S07, B02, 1
B02, Trade, 85122.615, 165, B02, S09, 1
B02, Trade, 85137.942, 169, P01, B02, 1
B02, Trade, 85163.788, 165, B02, S06, 1
B02, Trade, 85170.654, 166, B02, S04, 1
B02, Trade, 85186.827, 166, P01, B02, 1
B02, Trade, 85229.538, 170, S23, B02, 1
B02, Trade, 85238.712, 161, B02, S21, 1
B02, Trade, 85249.596, 171, S21, B02, 1
B02, Trade, 85271.462, 170, S06, B02, 1
B02, Trade, 85283.750, 171, S23, B02, 1
B02, Trade, 85304.038, 167, B02, S14, 1
B02, Trade, 85315.885, 167, S13, B02, 1
B02, Trade, 85333.058, 162, S24, B02, 1
B02, Trade, 85350.308, 172, S08, B02, 1
B02, Trade, 85360.288, 163, B02, S18, 1
B02, Trade, 85363.269, 172, S21, B02, 1
B02, Trade, 85384.135, 169, B02, S10, 1
B02, Trade, 85402.769, 165, S12, B02, 1
B02, Trade, 85414.327, 170, S18, B02, 1
B02, Trade, 85436.500, 160, B02, S20, 1
B02, Trade, 85442.577, 171, S19, B02, 1
B02, Trade, 85452.904, 165, B02, S06, 1
B02, Trade, 85464.500, 173, S11, B02, 1
B02, Trade, 85486.558, 169, B02, S20, 1
B02, Trade, 85503.712, 163, S09, B02, 1
B02, Trade, 85530.154, 168, S15, B02, 1
B02, Trade, 85544.135, 171, S16, B02, 1
B02, Trade, 85575.519, 170, S03, B02, 1
B02, Trade, 85600.096, 162, B02, S18, 1
B02, Trade, 85602.558, 163, S01, B02, 1
B02, Trade, 85610.788, 164, B02, S16, 1
B02, Trade, 85625.269, 168, B02, S19, 1
B02, Trade, 85653.692, 169, S04, B02, 1
B02, Trade, 85691.692, 162, S20, B02, 1
B02, Trade, 85703.019, 165, S03, B02, 1
B02, Trade, 85723.692, 168, S04, B02, 1
B02, Trade, 85730.462, 164, B02, S11, 1
B02, Trade, 85748.327, 165, S24, B02, 1
B02, Trade, 85764.442, 163, B02, S06, 1
B02, Trade, 85771.788, 172, S16, B02, 1
B02, Trade, 85782.500, 167, B02, S03, 1
B02, Trade, 85797.500, 165, B02, S06, 1
B02, Trade, 85815.481, 167, P01, B02, 1
B02, Trade, 85835.058, 165, B02, S03, 1
B02, Trade, 85851.923, 169, S12, B02, 1
B02, Trade, 85856.577, 167, S11, B02, 1
B02, Trade, 85878.462, 171, B02, S13, 1
B02, Trade, 85883.269, 173, B02, S16, 1
B02, Trade, 85895.500, 164, B02, S20, 1
B02, Trade, 85915.750, 166, B02, S22, 1
B02, Trade, 85929.538, 164, B02, S13, 1
